dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
miniboone,random,0.12,gradmatch,0.8907469342251951,0.8610178442472584,0.8720446000426323,0.851794884370912,10.289687048643827,10.210440672934055,9.7085370272398,181.0,104051.0,512.0
miniboone,random,0.12,deem,0.8789835851305117,0.8425670306445292,0.8637840223130187,0.8272016633371131,13.916941232979298,13.817843902856112,11.510848421603441,58.0,104051.0,5203.0
miniboone,random,0.18,cleancore,0.8994733402529504,0.8740779195132489,0.8786003481039257,0.8698910287991133,31.465848479419947,31.368720546364784,22.347679637372494,250.0,104051.0,5203.0
miniboone,random,0.18,gradmatch,0.8879790873793872,0.860655438337621,0.8622996535939291,0.8590613147844623,8.274122282862663,8.190525557845831,7.767980020493269,97.0,104051.0,512.0
miniboone,random,0.18,deem,0.8762541806020067,0.8356147421218341,0.8679795929073002,0.814986468274564,14.04384582862258,13.941321838647127,11.640190776437521,58.0,104051.0,5203.0
miniboone,random,0.24,cleancore,0.8984738400030754,0.8748699302452421,0.8731249787442976,0.8766738272199607,20.34951200708747,20.256514240056276,15.669003549963236,147.0,104051.0,5203.0
miniboone,random,0.24,gradmatch,0.8631837927190251,0.8144834913577219,0.8573350147972061,0.7905709055824498,8.529744513332844,8.456787809729576,8.051970891654491,139.0,104051.0,512.0
miniboone,random,0.24,deem,0.8883635105524161,0.8564382365779135,0.8724788149632532,0.8439139921042365,14.044269319623709,13.92806038632989,11.54536260664463,58.0,104051.0,5203.0
miniboone,random,0.30,cleancore,0.8918233191096759,0.8683456844482943,0.8624992675495136,0.8749755352846054,21.84860449284315,21.744996689260006,15.423770479857922,147.0,104051.0,5203.0
miniboone,random,0.30,gradmatch,0.8700649675162418,0.8299451881735412,0.8535246832561204,0.8135670352966841,8.090256836265326,8.018816951662302,7.661010503768921,98.0,104051.0,512.0
miniboone,random,0.30,deem,0.8907469342251951,0.8606894457588236,0.8728021219321965,0.850708766669424,14.346365693956614,14.269592322409153,12.325666945427656,58.0,104051.0,5203.0
miniboone,shift,0.06,cleancore,0.9131588052127783,0.8914921745163134,0.8951449046290961,0.8880503005382676,24.94466334581375,24.848606072366238,18.291846476495266,192.0,104051.0,5202.0
miniboone,shift,0.06,gradmatch,0.892169299965402,0.866536844641959,0.8663385034781661,0.8667359369978676,8.447997778654099,8.364943776279688,7.914328619837761,140.0,104051.0,512.0
miniboone,shift,0.06,deem,0.8503825010571637,0.790094518238718,0.8529800777908482,0.7619143603194322,14.117405582219362,14.02929075434804,12.394324462860823,58.0,104051.0,5203.0
